,职位名称,详细链接,工作地点,薪资,公司名称,经验要求,学历,福利,职位信息,,,,,,,,,,,,,,,,,,,,
116,数据分析经理,https://www.lagou.com/jobs/6284258.html,浦东新区,20k-30k,上海曌扬汽车服务有限公司,5-10年,本科,薪资福利好 90后,岗位职责：\xa0负责金融产品的风险数据分析，、挖掘，跟踪分析业务关键风险指标并完成分析报告；\xa02.\xa0负责风险常规监控报表的维护及异常性分析，\xa0根据公司的实际业务要求，完成深入的专项数据分析并形成分析报告；\xa03.负责根据分析发现的问题，归类汇总，不断协助完善审批规则、反欺诈规则、流程等。任职资格：1.\xa0\xa0数学、统计、计算机、经济等相关专业，大学本科及以上学历；\xa0\xa0\xa02.\xa0\xa03年以上数据分析在消费金融风险分析的实践经验，行业包括汽车金融、银行、个人信贷等；\xa0\xa03.\xa0\xa0熟悉数据分析与数据挖掘理论；有海量数据分析经验，熟练使用SAS、Python、R、SPSS等进行数据分析工作；熟练使用SQL；\xa0\xa0\xa0\xa0\xa0\xa04\xa0.有较强的数据敏感度，良好的沟通协调能力，能承受一定的工作压力；\xa0\xa05.\xa0具有至少1年以上带团队经验。具有良好的团队协作精神、良好的道德品质和职业操守；,,,,,,,,,,,,,,,,,,,,
117,数据分析师,https://www.lagou.com/jobs/6042705.html,黄浦区,10k-20k,行吟信息科技（上海）有限公司,1-3年,本科,年底多薪 福利超好 成长超快,岗位职责：1、参与项目的调研，了解业务方的核心需求并定义问题；2、负责对数据进行分析，形成可落地的解决方案，支持相关部门工作的改进；3、搭建监控报告体系，量化分析业务运营情况，并且给出改进和优化建议；对业务进行预估，业绩进行预测，建立数据各维度模型，并发现业务中潜在问题和给出优化方案；4、负责业务项目专题分析，提供有效的决策建议，并推动方案落地和后续监控。任职资格：1、本科学历及以上，数学、统计学、计算机科学、工程类专业背景优先；2、掌握至少一门数据分析语言／工具（SAS／R／Python／SPSS等）、至少掌握数据可视化软件一种（tableau）；3、出色的逻辑思维能力，了解常用的数据分析方法并能在实际工作中灵活运用，具备分析问题和解决问题的能力，能独立搭建业务模型。,,,,,,,,,,,,,,,,,,,,
119,大数据分析师,https://www.lagou.com/jobs/5548826.html,浦东新区,15k-25k,杭州游卡网络技术有限公司,3-5年,本科,平台好,公司福利好,领导亲切,发展空间大,岗位职责1、支持业务方数据接入工作2、支持业务方各种统计分析及报表需求3、能根据实际业务完成较深入的专项数据分析，并形成数据分析报告 4、与产品，运营，研发等配合，推进数据产品项目落地执行，支撑业务增长及变现任职要求：1、大学本科及以上学历，数学、统计学、计算机相关专业优先2、2年以上工作经验，责任心强，对数据分析有强烈兴趣者优先3、具备良好的逻辑思考和分析能力，熟悉常用数据统计和分析方法4、熟练使用SQL，熟悉R、SAS、PYTHON等脚本语言中的一种优先5、熟悉常用机器学习算法优先6、具备推荐系统，自然语言处理，互联网营销，舆情系统，流量采买分析等相关经验者优先7、有游戏行业，互联网行业实际项目经验者优先,,,,,,,,,,,,,,,,,
120,数据分析师,https://www.lagou.com/jobs/5304999.html,虹口区,20k-30k,虎扑（上海）文化传播股份有限公司,3-5年,本科,发展前景,岗位职责：1）与业务相关方进行需求沟通并独立承担数据分析等数据工作；2）对日常运营产品数据监控和分析；岗位要求：1）本科及以上学历，3年以上互联网行业相关经验；2）精通sql，熟悉mysql数据库，能编写较复杂的计算逻辑；3）熟练运用R、PYTHON、SAS等主流数据分析软件工具；4）有数据敏感度，能从海量数据中提取核心结论，并用清晰且简洁的方式呈现其商业洞察；5）逻辑思维清晰，严谨细致，有良好的沟通理解能力和跨团队协作精神；6）了解Tableau、帆软等BI工具者优先； \xa0 \xa0 \xa0 \xa0 \xa07）有大型互联网公司从业经验的优先,,,,,,,,,,,,,,,,,,,,
121,数据分析师,https://www.lagou.com/jobs/5918327.html,徐汇区,10k-20k,上海中彦信息科技股份有限公司,1-3年,本科,福利待遇好,工作环境优,六险一金,工作内容1. 了解公司内部业务，协助各业务部门完成数据整理、分析，及时提供支持方面的工作。2. 针对运营问题进行诊断，发现业务运营问题与机会点，对业务问题进行深入分析，提供数据支持3. 定期追踪业绩及其他关键业务指标情况，洞察到业务动作，提供决策基础"任职要求：1. 有1年以上互联网数据分析领域工作经验。2. 统计学、数学类专业本科及以上学历，有较强的数学和数据挖掘功底。4. 了解至少一种数据库软件，能通过sql、hive完成常规取数5. 具有良好的学习、领悟能力，善于沟通协调6. 工作细心，认真负责，有创新精神，能承受工作压力,,,,,,,,,,,,,,,,,,
122,数据分析师,https://www.lagou.com/jobs/4379947.html,浦东新区,13k-25k,深圳萨摩耶互联网金融服务有限公司,1-3年,本科,晋升快,氛围好,商业医疗险,补充公积金,岗位职责1、负责通过数据分析技术研究互联网信贷客户行为，提供数据分析报告和策略调优建议；2、负责结合客户行为分析，开展客户经营方案，实施政策制定、跟踪、分析政策效果；3、熟练应用数据库工具，快速准确获取数据，支持业务运维，并可进行一些描述性统计分析，发现业务中的变化和问题，提出解决方案；4、参与开发评分模型，实施模型并监测效果。岗位要求1、国内外知名院校全日制本科及以上，理工科背景优先；2、两年以上信用卡、个人零售信贷产品数据分析经验，有互联网金融数据分析策略设计经验的优先；3、有数据库工具使用基础，能够独立完成数据分析项目；4、熟练使用SQL , 有Python使用经验优先；5、认真负责，有强烈的好奇心与探索精神，善于接受新鲜事物。,,,,,,,,,,,,,,,,
123,数据分析师,https://www.lagou.com/jobs/6320917.html,浦东新区,25k-50k,上海基分文化传播有限公司,5-10年,本科,数据分析,岗位职责：1.\xa0深入了解业务数据，为需求方提取数据，输出专题性分析报告；2.\xa0优化和完善所属方向的数据分析体系，包括KPI指标体系、报表体系、专题分析体系；3.\xa0沉淀分析思路与框架，提炼数据产品需求，协作并推动数据产品落地；4.\xa0通过数据分析、数据挖掘，推动数据化运营。任职要求：1.\xa0数学、计算机、统计学等相关专业本科以上学历，5年以上相关工作经历;2.\xa0熟悉Hive\xa0SQL，熟悉大数据开发环境；3.\xa0熟练独立编写商业数据分析报告，及时发现和分析其中隐含的变化和问题，有优秀的商业sense;4.\xa0良好的数据敏感度,能从海量数据提炼核心结果，有丰富的数据分析、挖掘、清洗和建模的经验；5.\xa0有数据模型建立和运营经验、数据化运营经验、数据类产品类规划经验，尤其是互联网相关的优先。,,,,,,,,,,,,,,,,,,,
124,数据分析师,https://www.lagou.com/jobs/6293111.html,浦东新区,10k-20k,上海淇毓信息科技有限公司,不限,本科,发展范围广 薪资高 福利好,岗位描述:1、建立和完善电销运营报表体系，负责数据的收集整理，制作和维护日常报表；2、监控风险指标，跟进和分析策略执行情况，提出策略优化建议；3、对于指标波动等情况进行数据分析，出具分析报告，提出有效建议。4、负责制定电销名单价值模型，营销价值模型等，协助制定电销业务精细化管理策略；5、建立电销运营监控数据体系，并针对业务问题进行深入分析，为业务的策略优化提供数据支持；岗位要求:1、统计、数学、计算机等专业本科及以上学历(硕士优先)，二年以上相关工作经历优先考虑；2、熟悉大数据平台操作，熟练运用SQL，精通Python、R或SAS；3、具备良好的沟通能力、团队精神和较强的学习能力,,,,,,,,,,,,,,,,,,,,
125,数据分析主管,https://www.lagou.com/jobs/6276719.html,长宁区,10k-15k,上海百秋电子商务有限公司,3-5年,本科,福利待遇佳、公司前景好,岗位职责:1、熟悉如何用数据驱动电商/零售业务，制定业务数据的采集策略，设计、建立、测试相关的数据模型，从而实现从数据中提取决策价值，提升数据支持运营能力；2、负责公司数据管理，寻找如何用数据驱动业务，形成固化报表，提升数据支持运营能力，并规范业务端数据整理流程；3、能够与客户高层对话，问出有质量的问题，深度了解业务需求和痛点，并能结合客户发展和品牌现状，提供解决方案；4、满足客户数据需求，并能提供更深入的分析，建立不同场景的业务分析体系；5、熟悉电商主要的数据工具平台，如数据银行和数据工厂，熟悉数据挖掘、数据建模，能利用并丰富公司数据，运用大数据做深度分析。任职要求:1、本科以上学历，3年以上数据分析领域工作经验，喜欢深度思考，愿意挖掘事物背后潜藏的本质；2、对数据如何驱动业务有深入理解和经验；3、喜欢通过数据发掘业务中存在的问题点和机会；4、具备良好的业务理解能力、逻辑思维能力和优秀的表达能力；5、工作态度认真，喜欢主动交流，主动寻求问题的解决方案。,,,,,,,,,,,,,,,,,,,,
126,数据分析,https://www.lagou.com/jobs/6141125.html,宝山区,10k-15k,上海微盟企业发展有限公司,1-3年,本科,上市公司 成长空间大,岗位职责：\xa01、 根据业务导向，准确提供各指标数据报表，针对相关联报表进行有效整合；\xa02、 日报、周报、月报等数据报表制作，不断优化相关报表设计，提高工作效率；\xa03、 针对每日追踪产生异常数据进行深入分析，提供产生差异原因，及时提报至相关人员；\xa04、 数据报告分析的可参考性；合理的对问题点进行深入分析。\xa0任职资格：\xa01、 本科及以上学历，统计学、数学、计算机等相关专业；\xa02、2年以上数据分析或数据处理相关经验；\xa03、 熟练使用SQL,office等分析工具\xa04、 具有良好的数据分析能力和跨部门沟通能力。,,,,,,,,,,,,,,,,,,,
127,数据分析,https://www.lagou.com/jobs/4709197.html,长宁区,12k-20k,知我探索教育科技（北京）有限公司,1-3年,本科,五险一金,扁平化管理,弹性工作,交通便利,工作内容：1.熟悉互联网常用数据分析指标，掌握产品运营数据的监控和分析方法；2.负责分析和解释产品试验，市场活动等的结果，为产品改进，推广试验等提供数据支持；\xa03.分析用户特征、行为路径、转化率、活动效果等运营核心数据，提供数据反馈和建议 ；\xa04.对运营数据进行挖掘和分析，对运营策略搭建及拟定予以数据支持 ；\xa05.具有独立承担复杂分析任务的能力，支持各方不定期的相关数据需求。任职资格：1.计算机、统计、数学、信息技术等专业本科及以上学历；2.至少2年以上互联网数据分析或大数据相关岗位工作经验；3.熟悉SQL、Oracle、MySQL，熟悉数据相关工具；\xa04.熟悉python等脚本语言开发者优先；5.有产品思维，对商业和业务逻辑敏感；6.具备较强的创新思维和逻辑分析能力，良好的书面和口头表达能力。,,,,,,,,,,,,,,,,,
128,数据分析师-杭州/上海-01685,https://www.lagou.com/jobs/5754426.html,徐汇区,10k-20k,同盾科技有限公司,1-3年,不限,六险一金、双休、节日福利、旅游、免费零食,岗位职责1、参负责信贷数据的分析，及时准确完成各项分析需求，对风控数据进行深入的剖析，为风控决策及策略的应用提供强有力的数据支持； 2、负责数据报表的设计与开发，负责报表体系的设计、开发和实施，及时准确的完成各项报表任务，对异常指标进行深入分析，及时反馈；4、 负责策略模型的监控，定期对各项风控规则及策略进行监控，分析数据波动的原因，并及时反馈发现的异常点。任职要求1、全日制本科及以上学历，统计学、计算机及相关专业，掌握Hive、SQL、R、Python等相关数据工具； 2、具有互联网领域数据分析、挖掘的数据化运营经验； 3、具有良好的数据敏锐度、逻辑分析能力与数据解读能力，能及时发现、分析、提炼出数据中隐含的业务变化与问题。,,,,,,,,,,,,,,,,,,,,
