Duration (ms), Start date, End date, Start station, End station, Bike number, Member type
608265, 2017/1/4 12:14, 2017/1/4 12:24, Eastern Market / 7th & North Carolina Ave SE, North Capitol St & F St NW, W21174, Member
1547761, 2017/1/4 12:14, 2017/1/4 12:39, 21st & I St NW, Lincoln Memorial, W21228, Casual
155831, 2017/1/4 12:14, 2017/1/4 12:16, Iwo Jima Memorial/N Meade & 14th St N, Rosslyn Metro / Wilson Blvd & Ft Myer Dr, W23226, Member
180363, 2017/1/4 12:14, 2017/1/4 12:17, 19th & G St NW, 21st & I St NW, W20603, Member
315255, 2017/1/4 12:14, 2017/1/4 12:19, New Dominion Pkwy & Fountain Dr, Reston Town Center Transit Station, W23068, Member
576744, 2017/1/4 12:14, 2017/1/4 12:24, 8th & F St NE, 1st & M St NE, W22764, Member
858192, 2017/1/4 12:14, 2017/1/4 12:29, Eckington Pl & Q St NE, Columbus Circle / Union Station, W21501, Casual
564709, 2017/1/4 12:14, 2017/1/4 12:24, Maryland Ave & E St NE, North Capitol St & F St NW, W20899, Member
435551, 2017/1/4 12:14, 2017/1/4 12:22, 5th & K St NW, 1st & Rhode Island Ave NW, W22265, Member
391198, 2017/1/4 12:15, 2017/1/4 12:21, New Hampshire Ave & T St NW, 17th & K St NW, W20931, Member
1494027, 2017/1/4 12:15, 2017/1/4 12:40, 21st & I St NW, Lincoln Memorial, W21998, Casual
658013, 2017/1/4 12:15, 2017/1/4 12:26, Eastern Market Metro / Pennsylvania Ave & 7th St SE, 4th & C St SW, W01341, Member
402103, 2017/1/4 12:15, 2017/1/4 12:22, Braddock Rd Metro, Market Square / King St & Royal St, W00902, Member
1013541, 2017/1/4 12:16, 2017/1/4 12:33, Lincoln Memorial, Jefferson Memorial, W21546, Casual
1009752, 2017/1/4 12:16, 2017/1/4 12:33, Lincoln Memorial, Jefferson Memorial, W21063, Casual
731339, 2017/1/4 12:16, 2017/1/4 12:28, 3rd & H St NW, 15th & P St NW, W21414, Member
5060244, 2017/1/4 12:16, 2017/1/4 13:41, Washington & Independence Ave SW/HHS, 17th St & Independence Ave SW, W21079, Casual
269163, 2017/1/4 12:17, 2017/1/4 12:22, 3rd & G St SE, 3rd St & Pennsylvania Ave SE, W20427, Member
2230802, 2017/1/4 12:17, 2017/1/4 12:54, Connecticut Ave & Tilden St NW, 39th & Veazey St NW, W21607, Casual
682335, 2017/1/4 12:18, 2017/1/4 12:29, 16th & Harvard St NW, 15th & K St NW, W00520, Member
1047132, 2017/1/4 12:18, 2017/1/4 12:35, 4th & W St NE, 10th & G St NW, W00408, Member
426672, 2017/1/4 12:18, 2017/1/4 12:25, 8th & O St NW, Metro Center / 12th & G St NW, W22708, Member
274957, 2017/1/4 12:18, 2017/1/4 12:23, 1st & Rhode Island Ave NW, 7th & T St NW, W22966, Member
236973, 2017/1/4 12:18, 2017/1/4 12:22, 8th & O St NW, 7th & R St NW / Shaw Library, W22722, Member
1283108, 2017/1/4 12:18, 2017/1/4 12:40, Pentagon City Metro / 12th & S Hayes St, Columbia Pike & S Courthouse Rd, W22310, Member
1621607, 2017/1/4 12:19, 2017/1/4 12:46, 14th & Girard St NW, 4th St & Madison Dr NW, W00898, Member
194980, 2017/1/4 12:19, 2017/1/4 12:22, 15th & L St NW, 17th & K St NW / Farragut Square, W22110, Member
349598, 2017/1/4 12:19, 2017/1/4 12:25, 13th St & New York Ave NW, 14th & Rhode Island Ave NW, W01392, Member
240593, 2017/1/4 12:19, 2017/1/4 12:23, D St & Maryland Ave NE, 3rd St & Pennsylvania Ave SE, W22811, Member
1895502, 2017/1/4 12:19, 2017/1/4 12:51, 4th & E St SW, 15th & Crystal Dr, W20941, Member
250309, 2017/1/4 12:19, 2017/1/4 12:23, Columbus Circle / Union Station, 8th & F St NE, W22517, Member
365341, 2017/1/4 12:19, 2017/1/4 12:25, Constitution Ave & 2nd St NW/DOL, 4th & C St SW, W22359, Member
103154, 2017/1/4 12:19, 2017/1/4 12:21, 2nd & G St NE, Columbus Circle / Union Station, W00280, Member
1318479, 2017/1/4 12:19, 2017/1/4 12:41, 11th & Kenyon St NW, Vermont Ave & I St NW, W23203, Casual
2088973, 2017/1/4 12:20, 2017/1/4 12:54, Connecticut Ave & Tilden St NW, 39th & Veazey St NW, W20413, Casual
231313, 2017/1/4 12:20, 2017/1/4 12:24, 3rd & M St NE, 3rd & H St NE, W22937, Member
542851, 2017/1/4 12:20, 2017/1/4 12:29, 10th & K St NW, 2nd St & Massachusetts Ave NE, W21944, Member
727658, 2017/1/4 12:20, 2017/1/4 12:32, Mount Vernon Ave & Kennedy St, Ballenger Ave & Dulaney St, W21489, Member
7126090, 2017/1/4 12:20, 2017/1/4 14:19, Henry Bacon Dr & Lincoln Memorial Circle NW, Henry Bacon Dr & Lincoln Memorial Circle NW, W21632, Casual
1648401, 2017/1/4 12:20, 2017/1/4 12:48, Tenleytown / Wisconsin Ave & Albemarle St NW, 20th & L St NW, W20627, Casual
1029123, 2017/1/4 12:20, 2017/1/4 12:38, Washington & Independence Ave SW/HHS, 3rd St & Pennsylvania Ave SE, W22348, Casual
1432262, 2017/1/4 12:20, 2017/1/4 12:44, S Joyce & 16th St S, 4th & E St SW, W22587, Member
996883, 2017/1/4 12:21, 2017/1/4 12:37, Washington & Independence Ave SW/HHS, 3rd St & Pennsylvania Ave SE, W20853, Casual
7072398, 2017/1/4 12:21, 2017/1/4 14:19, Henry Bacon Dr & Lincoln Memorial Circle NW, Henry Bacon Dr & Lincoln Memorial Circle NW, W21871, Casual
294782, 2017/1/4 12:21, 2017/1/4 12:26, 17th & Corcoran St NW, Thomas Circle, W21820, Member
603296, 2017/1/4 12:22, 2017/1/4 12:32, 4th & C St SW, 14th & G St NW, W21066, Member
246693, 2017/1/4 12:22, 2017/1/4 12:26, Rhode Island & Connecticut Ave NW, 11th & M St NW, W22286, Member
390382, 2017/1/4 12:22, 2017/1/4 12:29, 4th & M St SW, "10th St & LEnfant Plaza SW", W22711, Member
515872, 2017/1/4 12:23, 2017/1/4 12:31, Ward Circle / American University, Wisconsin Ave & Ingomar St NW, W22366, Member
147172, 2017/1/4 12:23, 2017/1/4 12:25, East West Hwy & Blair Mill Rd, 13th St & Eastern Ave, W22612, Member
377205, 2017/1/4 12:23, 2017/1/4 12:29, 1st & H St NW, 8th & H St NW, W21740, Member
173792, 2017/1/4 12:23, 2017/1/4 12:26, 15th & K St NW, 12th & L St NW, W01135, Member
473212, 2017/1/4 12:23, 2017/1/4 12:31, Ballenger Ave & Dulaney St, Royal & Wilkes St, W00611, Member
652157, 2017/1/4 12:23, 2017/1/4 12:34, 20th St & Florida Ave NW, 17th & K St NW, W22810, Casual
1372306, 2017/1/4 12:23, 2017/1/4 12:46, 14th St & Colorado Ave NW, 14th & L St NW, W21560, Member
430325, 2017/1/4 12:24, 2017/1/4 12:31, 5th St & Massachusetts Ave NW, 1st & M St NE, W23039, Member
278143, 2017/1/4 12:24, 2017/1/4 12:28, 1st & O St NW, 5th & K St NW, W01114, Member
281812, 2017/1/4 12:24, 2017/1/4 12:29, King St Metro South, Ballenger Ave & Dulaney St, W00961, Member
461939, 2017/1/4 12:25, 2017/1/4 12:33, New York Ave & 15th St NW, 16th & R St NW, W21879, Member
1101630, 2017/1/4 12:26, 2017/1/4 12:44, 4th & C St SW, 19th & L St NW, W01424, Member
455406, 2017/1/4 12:26, 2017/1/4 12:33, 15th & K St NW, 8th & O St NW, W20825, Member
327291, 2017/1/4 12:26, 2017/1/4 12:31, 8th & F St NE, Columbus Circle / Union Station, W00648, Member
700854, 2017/1/4 12:26, 2017/1/4 12:38, 18th & R St NW, 8th & H St NW, W22792, Member
1498691, 2017/1/4 12:26, 2017/1/4 12:51, 8th & F St NE, Smithsonian-National Mall / Jefferson Dr & 12th St SW, W01323, Casual
1082358, 2017/1/4 12:26, 2017/1/4 12:44, 12th & U St NW, 10th & K St NW, W00479, Member
386537, 2017/1/4 12:26, 2017/1/4 12:33, Columbus Circle / Union Station, Constitution Ave & 2nd St NW/DOL, W00280, Member
514942, 2017/1/4 12:27, 2017/1/4 12:35, Jefferson Memorial, Jefferson Dr & 14th St SW, W21266, Casual
1504432, 2017/1/4 12:27, 2017/1/4 12:52, River Rd & Landy Ln, River Rd & Landy Ln, W22081, Casual
1426197, 2017/1/4 12:27, 2017/1/4 12:51, 22nd & P ST NW, 14th & L St NW, W00528, Member
187618, 2017/1/4 12:27, 2017/1/4 12:30, S Joyce & 16th St S, S Joyce & Army Navy Dr, W00453, Member
497691, 2017/1/4 12:27, 2017/1/4 12:36, Jefferson Memorial, Jefferson Dr & 14th St SW, W22318, Member
1063741, 2017/1/4 12:27, 2017/1/4 12:45, 39th & Veazey St NW, Friendship Hts Metro/Wisconsin Ave & Wisconsin Cir, W21214, Member
156971, 2017/1/4 12:28, 2017/1/4 12:30, S Glebe & Potomac Ave, 27th & Crystal Dr, W00567, Member
2075316, 2017/1/4 12:28, 2017/1/4 13:02, Metro Center / 12th & G St NW, Metro Center / 12th & G St NW, W21056, Member
479644, 2017/1/4 12:28, 2017/1/4 12:36, 18th & R St NW, 15th & L St NW, W20147, Member
174167, 2017/1/4 12:28, 2017/1/4 12:31, Court House Metro / 15th & N Uhle St , Clarendon Blvd & Pierce St, W22108, Member
338546, 2017/1/4 12:28, 2017/1/4 12:33, 4th & East Capitol St NE, Eastern Market Metro / Pennsylvania Ave & 7th St SE, W22636, Member
87478, 2017/1/4 12:28, 2017/1/4 12:29, 19th & K St NW, 20th & L St NW, W21497, Member
677520, 2017/1/4 12:28, 2017/1/4 12:39, Monroe Ave & Leslie Ave, Potomac Ave & 35th St S, W20860, Member
341159, 2017/1/4 12:28, 2017/1/4 12:34, 16th & Harvard St NW, Calvert St & Woodley Pl NW, W22744, Member
1135076, 2017/1/4 12:28, 2017/1/4 12:47, Columbus Circle / Union Station, Maryland Ave & E St NE, W20890, Member
343954, 2017/1/4 12:28, 2017/1/4 12:34, 17th St & Massachusetts Ave NW, 22nd & P ST NW, W01291, Member
401931, 2017/1/4 12:28, 2017/1/4 12:35, 8th & East Capitol St NE, 3rd & D St SE, W22273, Member
424797, 2017/1/4 12:29, 2017/1/4 12:36, 21st & I St NW, 25th St & Pennsylvania Ave NW, W20505, Member
662432, 2017/1/4 12:30, 2017/1/4 12:41, 15th & K St NW, 21st & M St NW, W00236, Member
221265, 2017/1/4 12:31, 2017/1/4 12:34, Wilson Blvd & N Uhle St, Clarendon Blvd & Pierce St, W00991, Member
891044, 2017/1/4 12:31, 2017/1/4 12:45, Jefferson Dr & 14th St SW, Lincoln Memorial, W22124, Casual
301079, 2017/1/4 12:31, 2017/1/4 12:36, Virginia Square Metro / N Monroe St & 9th St N, Ballston Metro / N Stuart & 9th St N, W22028, Member
867182, 2017/1/4 12:31, 2017/1/4 12:45, Jefferson Dr & 14th St SW, Lincoln Memorial, W21122, Casual
237036, 2017/1/4 12:31, 2017/1/4 12:35, 14th St & Spring Rd NW, Georgia & New Hampshire Ave NW, W22304, Member
1929768, 2017/1/4 12:31, 2017/1/4 13:03, 15th & P St NW, Calvert St & Woodley Pl NW, W21414, Member
