演员,类型,整理后剧名,上映时间,语言,评分,地区,导演,差评数,评分人数,播放量,好评数
张国立/张铁林/王刚/邓婕/苗圃/冯雷,家庭剧/年代剧/粤语电视剧/超清1080P,5月槐花香,2004,国语,9.6,内地,张国立,715,17063,21160000,16348
张国立/李诚儒/何冰/邓婕/刘孜/李文玲/张大礼/马玉红/岳秀清/张默/李耕/隋永清/杨俊勇/刘淼/马以,都市/年代剧/粤语电视剧/超清1080P,我这1辈子,2001,国语,7.9,内地,张国立,1917,8966,14460000,7049
张国立/王刚/张铁林/张庭/张春年,喜剧/宫廷剧/古装剧/粤语电视剧/超清1080P,铁齿铜牙纪晓岚3,2004,国语,9.6,内地,刘家成,19062,450935,58290000,431873
张国立/王刚/张铁林/袁立/马伊P,喜剧/宫廷剧/古装剧/粤语电视剧/超清1080P,铁齿铜牙纪晓岚2,2002,国语,8.7,内地,刘家成,11461,90798,94080000,79337
张国立/王刚/黄维德/张默,宫廷剧/历史剧/古装剧/粤语电视剧,少年嘉庆,2005,国语,9.2,内地,张国立,1822,22243,17720000,20421
张国立/蒋雯丽/马思纯/刘立/柏青/李明启,家庭剧/言情剧/都市/粤语电视剧/超清1080P,爱情最美丽,2014,国语,7.8,内地,张国立,20978,94817,101000000,73839
张国立/邓婕/张默/林永健/郑家榆/徐箭/石琳/萧淑慎,喜剧/家庭剧/古装剧/粤语电视剧,龙非龙凤非凤,2006,国语,8.9,内地,张国立,1410,12430,17730000,11020
张国立/陈建斌/陶虹/邓婕/刘燕军/谭洋/丁柳元/林永健/汤鳢张春年,家庭剧/言情剧/剧情/粤语电视剧/超清1080P,亲兄热弟,2007,国语,7,内地,黄力加/张国立,1018,3374,6730000,2356
张国立/陈志朋/杨若兮/刘威/洪宗义/刘孜/徐静蕾/牛振华/左小青/吴晓东,神话剧/古装剧/剧情/粤语电视剧/超清1080P,财神传奇,2000,国语,7.3,内地,李森,2125,7831,11050000,5706
张娜拉/余文乐/杨雪/严屹宽/达式常/姜信日/鲜于恩淑/史美子/孙渝峰/王维维,青春剧/言情剧/都市/偶像剧/粤语电视剧/超清1080P,纯白之恋,2007,国语,7.5,内地,江海洋,2529,10313,35440000,7784
张子健/吕佳容/马敬涵/麦迪娜·买买提,年代剧/谍战剧/粤语电视剧/超清1080P,热血,2015,国语,7.6,内地,高战/李宏宇/张磊,17502,73810,365000000,56308
张子健/梁琳琳/贺刚/钟卫华/淳于珊珊/韩含/史磊/王心圣/黄小瑜/杨明,军旅剧/剧情/年代剧/粤语电视剧/超清1080P,飞虎队,2015,国语,7.7,内地,钱雁秋,27785,120785,240000000,93000
张子健/梁静/丛珊,罪案剧/剧情/都市/粤语电视剧/超清1080P,绝胜天良,2005,国语,7,内地,萧锋,223,751,2470000,528
张子健/金鑫/冯静,罪案剧/剧情/悬疑剧/粤语电视剧/超清1080P,案发现场2,2007,国语,8.7,内地,吴小东,1472,11121,23620000,9649
张庭/张铁林/黄海冰/韩东/卢星宇/钱多多/杨明娜/陈继铭/王沫溪/王响伟,言情剧/历史剧/武侠剧/古装剧/粤语电视剧,火帅,2003,国语,9.8,内地,李翰韬/王炎冰,680,28721,11990000,28041
张庭/郭晋安/李铭顺/林湘萍/陈龙/林明伦/陆明君/赵梓存/崔波/刘涛,言情剧/古装剧/悬疑剧/粤语电视剧/超清1080P,夜光神杯,2006,国语,8.8,内地,温伟/黄权,1288,10402,9820000,9114
张康尔/丁嘉元/向梅,剧情/年代剧/悬疑剧/粤语电视剧,上海秘密战,2001,国语,5.6,内地,宋崇,410,923,3000000,513
张志忠/张文君/张咏/潘伟/于小慧,历史剧/古装剧/剧情/粤语电视剧/超清1080P,乱世英豪,1998,国语,6.1,内地,梁凯程,182,466,1370000,284
张恒/夏文芳/王泽熙/潘玲玲/向凯琳/董超/常晟,喜剧/网络剧/粤语电视剧/超清1080P,后台很火,2015,国语,6.5,内地,韩猛,2749,7921,54950000,5172
张恒/朱琳/李倩/洪剑涛/王志飞/王子嘉,言情剧/剧情/都市/粤语电视剧,女人香,2006,国语,5.6,内地,梦继,355,811,2280000,456
张恒/韩青,军旅剧/历史剧/剧情/粤语电视剧/超清1080P,血雨母子情,2012,国语,5.8,内地,侯明杰,1527,3619,11160000,2092
张敏/汤镇宗/刘美娟/汤镇业/林聪/贾云/张国强/何超仪/孙国明/邵音音,家庭剧/言情剧/都市/粤语电视剧/超清1080P,东方母亲,1997,国语,6,内地,曾丽珍,459,1143,1730000,684
张晨光/任东霖/秦焰/杜雨露/张子琪/徐路/陆剑民/韩瑜/李建义/郝蕾,剧情/历史剧/古装剧/宫廷剧/粤语电视剧,大明帝国之夜来风雨,2005,国语,6.3,内地,郭少雄/李文龙,238,641,1990000,403
张晨光/张玉鳢于佳卉/王中皇/李芳雯/赵擎,言情剧/古装剧/剧情/粤语电视剧/超清1080P,王宝钏与薛平贵,2000,国语,6.6,内地,冯凯,834,2436,3820000,1602
张智霖/朱茵/李铭顺/吴佳妮/郭妃丽/孙兴,武侠剧/古装剧/剧情/粤语电视剧/超清1080P,如来神掌,2002,国语,7,内地,李惠民/叶昭仪/卢燕金,2122,7022,20510000,4900
张智霖/林心如/董洁/韩雪/寇振海/岳跃利,武侠剧/古装剧/剧情/粤语电视剧/超清1080P,飞刀又见飞刀,2003,国语,7.6,内地,申学兵,1313,5546,13530000,4233
张柏芝/潘粤明/许绍洋/王飒/何琳,言情剧/年代剧/粤语电视剧,天涯歌女,2008,国语,8.5,内地,严浩,1703,11440,15840000,9737
