演员, 类型, 整理后剧名, 上映时间, 语言, 评分, 地区, 导演, 差评数, 评分人数, 播放量, 好评数
何润东/黄奕/谢雨欣/李宗翰/谭建昌, 言情剧/剧情/年代剧/粤语电视剧, 奇迹, 2002.0, 国语, 6.8, 内地, 张梁胜, 328.0, 1030.0, 1670000.0, 702.0
何炅/马少骅/章雯淇/陶飞霏/徐敏/高昊/郑天庸/王宇/廖炳炎/王璐, 历史剧/古装剧/剧情/粤语电视剧, 正德演义, 2005.0, 国语, 7.5, 内地, 陈育新, 1041.0, 4112.0, 4210000.0, 3071.0
何琳/房斌/刘畅/刘希媛/高冬平/任兰, 家庭剧/言情剧/粤语电视剧, 手心手背, 2002.0, 国语, 7.0, 内地, 李家琦, 387.0, 1284.0, 7430000.0, 897.0
何赛飞/于小慧/奚美娟/赵静/岳红, 言情剧/都市/粤语电视剧, 母爱13宗, 2006.0, 国语, 6.5, 内地, 郑延渝, 109.0, 308.0, 817000.0, 199.0
何赛飞/徐路/朱铁/梁天/曹力, 商战剧/言情剧/年代剧/粤语电视剧, 明德绣庄, 2007.0, 国语, 6.8, 内地, 包福明, 858.0, 2714.0, 12300000.0, 1856.0
何赛飞/李煜/傅彪, 罪案剧/悬疑剧/粤语电视剧, 神探谷梁, 2002.0, 国语, 7.0, 内地, 周力, 547.0, 1795.0, 5690000.0, 1248.0
何赛飞/林在培/石维坚/马雅舒/于小磊, 家庭剧/言情剧/剧情/粤语电视剧/超清1080P, 娘家的故事之爱的奉献, 2011.0, 国语, 6.9, 内地, 毛尉光, 290.0, 949.0, 2680000.0, 659.0
何赛飞/马雅舒/于小磊/石维坚, 家庭剧/言情剧/剧情/粤语电视剧/超清1080P, 娘家的故事之爱的重生, 2011.0, 国语, 8.1, 内地, 毛尉光, 109.0, 581.0, 1530000.0, 472.0
余少群/孙耀琦/惠英红/赵文u/张晓晨/于荣光/黄海冰/蒋林静, 宫廷剧/古装剧/剧情/粤语电视剧/超清1080P, 隋唐英雄5, 2015.0, 国语, 8.7, 内地, 李翰韬, 6876.0, 53385.0, 81340000.0, 46509.0
余少群/郭珍霓/汤镇业/汤镇宗/蒋林静/覃文静, 宫廷剧/古装剧/粤语电视剧/超清1080P, 钱塘传奇, 2015.0, 国语, 7.4, 内地, 李力安, 15356.0, 58093.0, 137000000.0, 42737.0
余皑磊, 剧情/都市, 法理人生, 2003.0, 国语, 6.3, 内地, 史晨风, 26.0, 71.0, 161000.0, 45.0
佟丽娅/李乃文/王姬/王刚/李纯/连凯/陆晨/文梦洋/任伟/万美汐, 喜剧/言情剧/都市/粤语电视剧/超清1080P, 大都市小爱情, 2014.0, 国语, 8.1, 内地, 武洪武/王飞, 10686.0, 55291.0, 138000000.0, 44605.0
佟大为/万茜/罗晋/刘威/王雷/李小萌/蒲巴甲/萨日娜/徐玉琨/张浩天/吴健, 军旅剧/历史剧/粤语电视剧/超清1080P, 10送红军, 2014.0, 国语, 8.3, 内地, 毛卫宁, 7557.0, 44973.0, 39600000.0, 37416.0
佟大为/李佳U, 喜剧/青春剧/言情剧/粤语电视剧, 瘦身家族, 2003.0, 国语, 6.9, 内地, 乔云, 287.0, 930.0, 865000.0, 643.0
佟大为/杨雪, 剧情/青春剧/言情剧/都市/粤语电视剧/超清1080P, 蝴蝶飞飞, 2004.0, 国语, 7.3, 内地, 何洛, 5185.0, 18998.0, 17860000.0, 13813.0
佟大为/王艳/吕夏/董璇/马程程/冯鹏, 家庭剧/言情剧/粤语电视剧/超清1080P, 所谓婚姻, 2008.0, 国语, 9.8, 内地, 丁晓雄, 691.0, 44293.0, 36030000.0, 43602.0
佟大为/苗圃/方子哥/陈莉娜, 罪案剧/青春剧/悬疑剧/粤语电视剧, 苍天有眼, 2004.0, 国语, 7.3, 内地, 梦继, 1222.0, 4492.0, 10590000.0, 3270.0
侯京健/唐国强/孙洪涛/王亚楠/刘丛丹/葛子铭/夏德俊/刘劲/邵峰/王碧琪/小斯琴高娃/任山/王伍福/孙嘉, 历史剧/年代剧/粤语电视剧/超清1080P, 毛泽东, 2013.0, 国语, 7.9, 内地, 高希希, 3695.0, 17394.0, 48730000.0, 13699.0
侯京健/宋佳玲/朱泳腾/王建国/张立威/郭静/刘国群, 军旅剧/谍战剧/悬疑剧/粤语电视剧/超清1080P, 省港大营救, 2015.0, 国语, 7.1, 内地, 李惠民/张广峰, 8549.0, 29660.0, 92260000.0, 21111.0
